10,154,209,163,217,120,137
20,155,212,163,216,120,139
36,155,213,163,215,121,142
66,155,213,163,216,120,143
95,156,215,162,215,120,142
123,156,216,162,215,118,144
154,156,217,161,216,118,144
184,156,217,162,215,116,144
215,155,217,161,214,114,142
244,156,217,162,212,112,144
275,156,217,161,210,109,143
305,156,218,160,208,107,142
335,156,218,160,205,102,140
365,155,218,161,197,98,136
396,156,218,159,188,95,135
425,155,219,159,173,90,135
455,155,218,157,159,81,139
486,154,218,154,148,78,144
516,155,218,150,141,75,147
545,156,218,146,137,72,146
574,156,218,139,132,70,148
604,156,218,134,129,67,152
632,156,218,130,129,67,152
662,157,218,128,128,64,152
691,157,217,124,127,62,153
719,157,215,123,126,62,153
749,157,215,122,124,62,152
778,158,214,124,123,62,152
807,157,215,129,122,63,152
836,158,217,134,123,61,150
866,158,216,142,123,63,151
894,157,217,148,122,66,151
923,159,216,153,117,70,144
953,157,213,157,114,71,134
982,157,211,161,111,72,125
1011,155,206,166,106,70,118
1041,153,203,170,105,66,113
1072,151,199,174,105,65,112
1101,142,195,171,105,63,111
1132,138,194,168,105,63,112
1162,134,193,168,104,60,113
1191,130,192,168,103,62,115
1222,126,191,168,103,62,116
1252,122,189,167,104,60,118
1283,122,189,167,105,61,119
1312,122,188,166,105,61,122
1343,120,188,164,106,60,126
1373,119,188,165,106,60,127
1403,117,186,163,107,60,129
1433,115,187,163,106,61,129
1464,115,187,163,108,61,130
1494,115,186,161,107,61,131
1523,114,186,162,105,61,132
1554,113,186,160,106,61,134
1584,112,187,160,105,59,135
1614,110,186,160,106,58,134
1644,109,187,159,108,60,135
1675,108,187,158,106,60,134
1704,107,187,157,106,60,134
1735,106,187,158,107,61,133
1765,107,188,159,106,61,133
1796,105,188,159,107,60,133
1825,105,188,158,107,60,134
1855,104,189,159,108,59,134
1886,103,189,159,107,60,134
1915,102,190,159,107,59,132
1946,103,189,161,107,60,132
1976,103,190,161,106,61,131
2007,102,190,163,106,59,131
2036,102,192,163,107,61,131
2067,102,191,165,106,60,131
2097,102,192,164,107,59,132
2127,102,192,165,108,59,131
2157,102,193,164,108,61,130
2187,103,193,164,107,60,130
2217,103,194,165,107,62,128
2247,103,194,165,107,62,128
2278,104,194,165,107,61,130
2308,103,194,166,108,62,130
2338,104,195,165,108,60,130
2368,104,194,166,107,62,128
2399,104,194,166,108,61,129
2428,104,195,165,110,63,129
2459,104,195,165,109,62,129
2489,104,194,166,110,62,128
2519,105,194,165,109,63,128
2549,104,194,166,109,63,127
2579,105,195,166,110,62,128
2610,105,195,166,110,60,128
2639,104,195,166,110,63,128
