10,146,203,167,221,142,126
20,146,214,168,220,143,125
36,145,150,168,220,143,126
66,145,183,167,220,143,125
95,146,124,167,221,142,127
123,145,203,167,220,142,128
154,146,112,168,221,143,126
184,145,197,167,220,144,127
215,145,108,168,219,143,126
244,145,195,168,220,144,126
275,144,109,167,220,144,127
305,144,189,167,221,143,128
335,143,104,168,221,142,126
365,143,187,168,220,144,127
396,143,106,168,221,143,128
425,145,187,168,220,143,126
455,147,117,168,220,141,130
486,151,202,167,220,140,132
516,154,117,168,221,139,139
546,157,167,167,220,138,146
576,159,71,169,221,138,149
606,160,188,171,224,140,149
635,160,141,173,227,146,153
666,160,265,174,228,147,157
696,160,185,174,228,149,166
726,160,201,174,227,151,179
756,159,105,175,227,152,188
786,158,195,174,227,154,197
817,158,144,174,228,153,204
846,157,161,174,229,151,208
877,156,57,173,230,147,212
906,155,122,171,230,143,213
936,154,65,170,227,139,214
965,154,176,164,218,135,213
996,157,105,159,210,132,215
1026,156,193,155,202,129,214
1056,157,66,144,187,121,211
1087,158,257,137,176,116,209
1118,160,135,127,166,106,207
1149,159,137,116,155,98,197
1179,161,110,106,148,92,182
1210,160,115,100,143,87,163
1240,160,91,95,139,81,146
1268,159,163,88,135,76,131
1297,157,91,84,130,72,120
1325,156,199,80,127,68,116
1354,155,95,76,124,67,110
1382,154,163,73,120,64,109
1412,154,168,70,119,62,113
1440,154,159,67,119,61,118
1470,154,203,66,118,60,121
1499,155,176,65,116,63,124
1528,155,333,66,116,63,126
1557,154,306,66,117,63,126
1586,155,439,65,118,63,128
1615,155,353,64,118,63,129
1644,154,365,64,118,63,130
1674,154,252,64,116,63,132
1702,156,256,65,117,64,135
1732,155,232,64,118,63,133
1761,155,183,65,117,65,133
1789,155,192,65,118,65,133
1819,155,131,65,119,65,131
1848,154,198,65,120,65,132
1878,155,127,65,121,64,133
1906,155,178,65,121,65,133
1936,155,121,65,121,66,134
1965,156,185,64,120,66,134
1994,155,165,66,121,66,135
2023,155,175,66,119,67,134
2052,156,201,65,122,67,133
2081,155,163,65,122,65,134
2110,155,202,64,123,65,134
2140,155,136,65,123,66,134
2168,156,204,67,123,65,135
2198,155,137,66,122,67,134
2227,155,195,65,122,67,134
2255,155,134,67,122,67,133
2285,155,174,65,123,68,134
2314,156,166,65,124,67,134
2343,156,158,64,123,68,134
2372,155,183,65,123,67,134
2402,157,143,66,124,67,134
2430,157,197,65,124,67,135
2460,156,129,65,123,67,133
2489,156,197,66,123,68,134
2518,156,134,66,123,67,134
2547,156,190,66,125,67,134
2576,156,150,66,125,67,134
2606,157,172,66,125,65,135
2634,156,171,66,125,66,134
2664,157,156,67,125,68,135
2693,157,191,66,125,68,134
2721,156,137,67,124,69,134
2751,156,198,67,124,69,134
2780,157,123,66,126,69,134
2809,156,183,66,126,68,134
