59,175,190,143,163,105,114
89,176,190,142,162,104,114
117,177,192,143,163,104,115
147,177,190,143,163,106,114
178,175,191,141,162,105,114
207,176,191,141,163,104,116
238,176,191,143,162,106,118
268,175,191,142,163,106,114
299,175,192,141,163,108,117
328,175,191,143,163,107,117
359,176,191,143,162,105,115
389,176,192,144,163,110,116
419,175,192,142,162,104,114
449,176,191,142,163,106,116
479,176,190,142,162,108,115
509,175,191,141,161,106,116
539,174,190,142,162,106,117
570,175,190,142,160,107,114
600,172,188,140,162,108,115
630,174,188,142,161,106,114
660,174,189,141,160,107,113
691,173,188,141,160,108,112
720,174,184,142,162,106,113
750,174,183,141,159,107,115
781,172,182,138,158,103,114
811,171,179,134,154,102,115
841,170,177,134,152,101,112
871,171,173,129,153,96,115
901,168,172,126,146,96,109
929,165,170,122,144,95,108
959,165,165,117,138,91,110
988,162,156,112,135,88,110
1016,157,156,108,130,83,109
1047,152,153,106,128,82,109
1077,143,150,102,124,81,109
1107,131,145,99,122,79,109
1136,124,144,97,119,74,111
1166,118,142,97,117,73,107
1195,112,142,96,116,71,105
1224,112,141,95,114,72,108
1253,107,140,92,113,67,105
1282,107,138,91,110,68,104
1311,106,136,89,108,67,102
1340,105,136,91,107,64,104
1370,105,134,89,106,64,103
1398,105,134,87,103,65,105
1428,105,132,85,104,64,104
1457,106,131,85,102,62,105
1486,107,133,85,101,65,104
1515,106,133,85,102,64,105
1544,106,134,84,103,67,106
1573,108,131,88,105,67,105
1602,109,135,84,103,65,107
1632,110,134,88,104,67,105
1660,111,137,88,104,67,106
1690,111,136,88,105,65,107
1719,109,137,89,105,68,107
1747,110,139,88,107,66,107
1777,108,137,89,106,70,109
1806,111,138,90,106,67,107
1836,110,137,89,106,69,108
1864,112,139,88,107,67,104
1894,111,137,90,106,68,107
1923,111,139,90,107,69,105
1952,111,138,90,104,68,107
1981,111,139,90,106,69,108
2010,110,141,88,108,69,107
2039,111,139,89,106,70,107
2068,112,140,88,108,67,107
2098,112,139,90,108,69,106
2126,110,140,90,106,69,106
2156,113,140,88,107,67,110
2185,113,141,91,107,70,108
2213,112,139,89,109,69,108
2243,113,139,92,110,69,107
2272,112,143,89,108,69,108
2301,110,140,90,109,67,108
2330,113,140,89,107,70,106
2360,112,140,89,108,68,108
2388,112,140,91,110,71,105
2418,115,139,90,110,67,110
2447,113,142,90,109,69,108
2476,113,141,89,109,70,107
2505,114,141,89,110,71,106
2534,114,140,89,111,68,106
