117,179,226,200,223,147,121
147,179,226,201,226,145,117
178,176,228,200,227,149,118
207,176,231,198,228,146,117
238,178,227,200,227,146,118
268,180,227,203,226,146,119
299,179,228,203,227,146,118
328,177,228,202,228,145,120
359,179,228,201,228,144,122
389,180,228,201,227,145,117
419,179,229,203,228,146,123
449,177,230,203,230,147,123
479,178,230,203,227,148,123
509,180,229,203,229,151,121
539,179,231,203,232,150,125
570,179,229,202,235,152,126
600,180,230,203,233,150,124
630,178,229,203,236,145,128
660,180,229,200,237,140,128
691,178,229,198,236,134,127
720,178,229,198,236,127,127
750,180,226,194,235,124,126
781,179,227,191,234,121,129
811,179,226,186,234,121,126
841,180,227,181,231,120,125
871,179,228,180,232,121,121
902,178,227,179,232,125,119
931,176,223,180,232,129,114
962,174,215,184,230,133,116
992,173,171,189,232,137,117
1022,172,166,192,233,141,116
1053,171,166,194,234,151,115
1085,172,167,197,237,150,113
1116,174,165,200,237,150,115
1146,174,167,200,236,153,110
1178,174,162,200,235,155,110
1209,173,158,202,239,154,107
1241,172,152,201,238,154,106
1271,174,148,202,238,155,104
1303,173,157,201,238,156,104
1334,171,177,201,239,158,107
1366,168,186,203,236,158,106
1396,166,186,203,238,162,107
1428,163,180,199,234,163,115
1459,162,173,191,226,160,112
1490,162,171,183,196,126,114
1521,160,175,171,167,109,112
1553,161,185,151,147,93,117
1583,160,203,133,129,87,116
1612,160,213,122,118,93,119
1643,160,220,116,114,98,118
1673,161,223,113,111,100,113
1704,159,227,108,112,97,115
1734,159,228,104,113,97,114
1765,163,231,97,115,100,116
1795,165,230,95,116,98,114
1824,168,232,92,113,99,113
1853,169,230,89,117,99,114
1882,170,231,89,115,97,115
1911,171,230,89,117,102,113
1941,170,231,90,118,102,110
1972,171,231,88,121,104,111
2001,172,230,87,122,102,112
2032,172,230,88,119,105,105
2062,174,228,86,123,107,105
2093,178,228,88,122,103,107
2122,177,228,86,120,93,102
2152,176,226,81,120,83,108
2181,176,224,79,120,82,107
2209,176,224,77,120,83,106
2239,177,221,75,120,80,109
2268,175,221,74,119,84,106
2297,174,219,72,119,84,109
2326,175,219,72,118,84,105
2356,174,217,72,119,85,99
2383,172,218,71,118,87,102
2412,174,217,73,121,85,104
2442,173,218,70,120,85,105
2470,172,216,71,121,89,103
2500,172,216,69,121,84,102
2529,173,215,68,125,86,108
2558,172,215,71,122,87,109
2587,172,215,71,123,89,107
2617,172,216,70,122,87,112
2646,172,216,70,122,87,106
2674,172,216,69,122,89,107
2704,173,214,70,120,90,109
2733,172,215,71,122,89,108
2762,172,215,71,122,89,107
2791,173,216,70,123,89,102
2821,172,215,72,125,90,104
2849,171,215,69,125,88,105
2878,170,215,71,123,90,99
2907,169,216,73,123,91,102
2935,172,215,74,123,91,108
2965,171,215,70,125,95,109
2994,170,217,72,127,91,107
3023,171,216,74,121,91,109
3052,169,218,71,125,92,104
3082,169,217,72,124,92,109
3110,169,218,69,123,92,109
3139,170,218,72,124,94,102
3169,171,217,73,124,91,107
3197,170,218,72,123,91,107
3227,170,217,72,123,93,103
3256,170,218,70,124,93,106
3286,169,217,73,125,94,110
3314,170,219,70,125,94,102
3343,171,217,73,123,93,107
3373,171,218,71,126,92,101
3401,171,217,70,125,95,101
3431,170,219,73,125,93,107
3460,168,217,72,125,93,102
3489,170,217,72,127,93,104
3518,169,218,72,126,95,103
3548,170,218,74,126,94,103
3576,168,217,72,125,94,102
3605,170,217,71,123,97,104
3635,168,216,72,128,97,106
