20,180,222,189,218,166,112
30,181,223,188,219,166,114
40,180,223,188,217,165,115
59,179,222,188,217,163,116
89,179,222,189,217,158,116
117,180,221,189,220,154,111
147,180,222,189,217,151,114
178,181,222,189,218,152,119
207,180,220,189,217,150,119
238,180,220,191,220,149,115
268,179,219,192,220,152,120
299,179,218,190,218,152,118
328,180,219,193,218,154,117
359,180,218,192,220,155,120
389,180,218,189,217,154,122
419,181,218,189,217,156,122
449,180,219,190,217,151,122
479,181,219,190,220,151,123
509,182,220,188,219,152,125
539,182,219,187,219,152,125
570,182,219,188,219,154,122
600,182,219,186,219,156,124
630,181,216,184,219,159,123
660,182,215,183,215,162,122
691,180,215,179,216,164,122
720,181,209,173,211,168,123
750,180,206,171,208,170,120
781,178,207,172,205,170,121
811,176,203,166,199,170,116
841,175,197,161,193,163,115
871,175,197,154,188,149,113
902,175,197,151,184,134,111
931,174,192,144,179,124,112
962,174,186,135,171,118,111
992,173,181,134,164,110,110
1022,171,173,128,156,107,109
1053,167,166,127,151,103,109
1085,161,160,121,147,99,110
1115,154,154,121,144,96,108
1144,146,153,120,140,87,110
1175,139,152,118,136,83,108
1205,132,148,116,132,77,110
1235,127,145,107,125,77,109
1265,124,143,107,125,73,107
1296,120,144,106,125,74,108
1326,119,146,106,125,70,106
1356,117,147,106,122,73,108
1386,118,149,106,124,75,107
1416,116,150,107,125,72,108
1446,116,149,107,126,73,108
1476,115,151,108,125,72,109
1507,116,151,106,126,73,110
1537,116,150,107,126,73,108
1567,118,151,106,125,76,108
1597,116,150,107,127,72,104
1628,116,149,105,125,76,109
1657,117,148,105,124,74,110
1688,117,147,105,125,74,111
1718,117,150,105,124,76,109
1747,116,149,105,126,76,107
1778,115,150,103,126,76,109
1808,116,152,103,127,75,109
1839,117,145,105,128,76,108
1868,118,152,105,127,78,109
1899,117,150,107,128,78,111
1929,118,152,106,128,82,108
1959,118,151,108,127,76,110
1989,119,150,105,128,79,108
2020,120,152,106,130,75,109
2050,119,154,107,130,75,108
2079,119,151,107,128,78,107
2110,119,151,108,129,80,109
2140,123,152,108,129,78,106
2170,121,152,106,128,79,106
2200,119,152,109,129,76,107
2231,121,152,108,127,78,110
2260,122,152,108,129,78,110
2291,121,152,108,129,79,110
2321,121,154,107,130,77,109
2352,121,153,107,130,78,107
2381,120,153,110,129,80,107
2411,121,154,107,130,80,107
