10,144,218,169,212,128,134
20,145,217,170,211,129,134
36,145,218,170,212,129,133
66,145,218,169,212,128,134
95,144,219,170,213,128,135
123,145,219,169,212,128,135
154,144,219,169,213,128,136
184,145,218,169,212,128,134
215,144,218,170,212,127,134
244,145,218,170,212,129,134
275,145,218,170,213,128,135
305,145,217,170,212,128,135
335,145,219,169,213,127,137
365,145,218,170,213,128,137
396,147,219,171,212,128,137
425,148,220,170,213,129,138
455,152,222,171,214,131,142
486,157,224,172,216,132,150
516,159,226,173,220,134,161
546,161,228,173,224,136,170
576,163,230,174,226,137,177
607,163,231,175,228,138,183
636,164,234,176,227,138,187
667,164,235,177,228,139,190
697,166,236,178,229,137,193
727,166,236,178,228,137,195
757,166,237,179,229,139,194
787,166,236,179,229,138,196
818,166,237,178,229,141,193
847,166,236,179,227,143,193
878,166,237,178,224,143,194
908,167,236,175,217,135,193
939,168,235,172,206,127,193
968,168,235,166,197,117,191
999,168,234,157,185,103,184
1029,167,234,148,174,87,179
1058,167,231,140,163,78,166
1089,167,230,128,153,71,155
1119,167,226,121,144,68,149
1149,166,219,112,136,63,146
1179,166,216,107,131,60,141
1210,165,213,103,128,58,135
1240,164,211,99,125,58,129
1269,164,210,95,122,58,124
1298,163,206,91,118,58,119
1328,162,202,86,116,62,114
1356,162,200,83,114,62,114
1385,160,198,79,113,63,112
1415,158,198,76,113,65,111
1443,157,194,74,112,65,112
1473,157,189,70,113,64,117
1502,157,190,68,112,64,120
1531,159,189,67,112,65,122
1560,159,197,66,112,65,123
1589,158,196,66,112,67,124
1618,159,199,65,113,66,123
1647,160,201,65,114,66,122
1677,159,201,63,115,66,124
1705,161,200,65,116,65,125
1735,160,201,65,116,66,126
1764,162,200,65,116,67,126
1794,161,201,64,117,67,126
1822,162,200,65,116,68,126
1851,161,202,64,116,67,126
1881,162,201,64,117,66,127
1909,162,201,64,118,67,128
1939,163,201,66,118,66,127
1968,163,201,65,117,68,127
1997,163,201,65,118,68,128
2026,163,200,64,118,69,127
2055,164,200,64,118,69,128
2084,163,201,63,119,68,128
2113,163,201,64,119,67,129
2143,163,200,64,119,69,129
2171,163,200,64,118,69,128
2201,162,200,64,119,68,129
2230,163,201,64,120,69,129
2259,164,199,64,119,68,130
2288,163,200,64,120,68,131
2317,163,201,63,120,68,131
2347,162,200,65,119,69,130
2375,163,200,66,119,69,130
2405,163,201,65,120,69,129
2434,163,201,65,121,68,129
2463,163,203,65,121,70,131
2492,163,201,65,120,69,131
2521,164,201,65,120,70,132
2550,163,201,66,120,70,130
2579,162,202,65,120,69,131
2609,163,202,64,122,71,130
2637,163,202,66,120,70,131
2667,163,202,65,121,69,132
2696,164,202,66,121,69,133
2725,163,203,65,122,70,131
2754,163,202,65,120,71,130
2783,163,203,67,121,69,131
2812,162,202,65,121,69,130
2841,163,203,65,123,70,131
2871,163,202,66,122,68,131
2899,163,202,67,121,70,132
2929,163,203,66,122,70,129
2958,163,203,66,122,70,131
2987,163,203,66,122,69,131
3016,162,203,67,122,69,131
3045,162,204,65,122,70,131
