,precision,recall,f1-score,support
Adduction_Grip,0.7374847374847375,0.7321212121212122,0.7347931873479319,825.0
Fixed_hook,0.9232323232323232,0.5506024096385542,0.689811320754717,830.0
Large_diameter,0.5017998560115191,0.748657357679914,0.6008620689655172,931.0
Parallel_extension,0.6756756756756757,0.8438818565400844,0.7504690431519699,948.0
Precision_sphere,0.5578093306288032,0.31939605110336816,0.40620384047267355,861.0
Sphere_4_finger,0.3682403433476395,0.5257352941176471,0.4331145885916204,816.0
Ventral,0.9260273972602739,0.7012448132780082,0.7981109799291618,964.0
Writing_Tripod,0.72544080604534,0.6442953020134228,0.6824644549763034,894.0
accuracy,0.6385627387183477,0.6385627387183477,0.6385627387183477,0.6385627387183477
macro avg,0.6769638087107891,0.6332417870615263,0.6369786855237369,7069.0
weighted avg,0.6796458323103003,0.6385627387183477,0.641145881064038,7069.0
