10,148,211,130,138,82,182
20,150,212,130,137,83,183
34,153,212,129,136,81,185
63,165,216,131,135,82,185
91,177,222,133,137,82,188
118,183,224,136,135,82,188
148,184,225,137,134,80,187
177,183,227,138,136,81,183
206,184,227,138,135,83,180
235,188,227,139,136,83,181
265,191,228,140,136,83,181
293,196,229,140,137,82,184
322,200,228,140,137,80,185
352,203,228,140,135,82,190
380,206,228,141,136,81,191
410,208,230,141,135,83,191
439,206,230,141,134,82,191
468,190,229,138,133,84,184
497,180,229,138,136,82,179
526,167,231,138,135,83,175
556,156,229,134,137,85,173
584,146,224,131,138,83,172
614,142,222,128,139,81,171
643,148,222,128,138,82,176
672,161,225,130,139,81,181
701,182,226,133,136,83,189
731,198,229,137,134,82,195
759,205,229,140,133,82,197
788,208,231,141,131,80,198
818,211,230,141,133,82,196
846,208,231,141,132,83,197
876,206,230,142,133,80,193
905,200,231,144,133,82,187
934,196,230,144,134,82,185
963,190,230,140,135,82,184
992,191,231,140,138,79,188
1021,197,230,140,134,79,191
1051,204,231,139,132,80,193
1082,207,230,140,128,79,196
1112,211,232,139,128,78,199
1142,210,232,140,128,78,197
1172,206,231,141,129,78,197
1203,199,231,140,130,80,196
1232,184,232,142,133,80,192
1263,168,233,141,133,80,186
1293,150,232,136,137,78,182
1323,145,231,133,135,78,180
1353,145,230,130,136,78,180
1383,153,229,132,137,78,183
1414,171,230,136,132,75,188
1443,194,233,139,131,81,191
1474,203,231,140,128,77,197
1504,206,232,143,128,82,198
1534,209,232,144,126,80,197
1564,206,233,144,128,79,193
1595,205,231,143,128,79,190
1625,195,231,145,130,79,186
1654,191,232,144,131,78,186
1685,196,232,146,131,76,189
1715,199,232,145,127,75,190
1745,202,231,146,125,74,192
1775,203,231,142,123,75,194
1806,205,232,141,120,73,194
1836,204,232,142,119,75,190
1866,200,231,143,120,76,185
1896,189,233,144,122,74,177
1927,178,231,142,125,75,175
1956,170,232,142,123,75,173
1986,168,230,140,125,74,176
2017,171,232,140,124,74,178
2046,173,231,142,123,74,180
2077,178,232,141,123,72,183
2107,179,231,142,125,73,182
2138,178,231,139,125,74,179
2167,177,231,141,126,75,175
2198,172,231,140,126,75,171
2228,172,231,141,126,76,171
2257,174,232,141,126,74,170
2288,177,230,143,127,76,171
2318,177,230,143,127,75,172
2349,177,233,142,127,76,172
2378,182,231,143,126,77,170
2409,182,231,143,125,76,172
2439,182,231,141,128,75,170
2469,183,232,143,126,76,170
2499,186,232,143,129,77,170
2530,185,232,142,127,77,172
2560,185,232,143,126,79,171
2589,181,234,143,128,80,170
2620,180,233,142,129,77,169
2650,177,232,141,128,79,168
2680,167,232,141,130,78,168
2710,165,232,143,128,78,165
2741,159,232,143,130,78,166
2770,158,232,141,132,79,164
2801,155,232,143,128,78,165
2831,157,232,143,130,78,165
2862,158,232,142,128,78,169
2891,160,233,143,130,77,168
2921,160,233,144,131,77,169
2952,163,231,143,131,78,169
2981,164,232,142,130,78,171
3012,167,233,144,132,79,171
3042,167,233,143,131,81,171
3073,169,231,144,134,79,172
3102,169,232,142,133,79,173
3133,168,232,142,134,80,174
3163,168,231,143,131,81,172
3193,170,233,144,134,80,173
3223,168,232,143,134,81,174
3253,167,233,141,135,79,174
3283,166,232,144,135,80,172
3313,163,233,142,135,81,172
3344,161,231,141,137,82,172
3374,161,231,142,136,82,171
3404,161,231,143,140,84,170
3434,160,232,143,138,82,169
3465,159,231,142,138,84,170
3494,161,231,143,139,83,173
3525,160,231,142,139,83,172
3555,160,233,142,140,83,172
3585,160,232,143,140,86,171
3615,159,232,145,144,86,172
3645,161,230,143,140,84,172
3676,161,231,144,141,85,172
3705,162,231,144,142,84,172
3736,162,230,144,140,82,171
3766,163,232,143,140,82,173
3796,163,232,143,141,85,172
3826,163,231,145,140,82,173
3857,164,230,144,142,83,173
3887,164,234,146,143,83,174
3916,165,234,142,143,83,173
3947,166,231,142,143,87,176
3977,167,228,142,146,87,175
4007,164,230,141,147,85,177
4037,159,231,141,148,88,176
4068,154,230,140,149,87,173
4098,153,231,138,149,87,174
4128,157,229,138,150,87,175
4158,165,230,140,148,87,178
4188,175,231,141,147,85,182
4218,179,233,141,147,85,182
4248,173,230,141,147,86,180
4279,162,229,139,147,86,176
4308,153,227,135,146,86,174
4339,151,228,134,148,85,173
4369,155,227,137,148,85,176
4400,171,229,136,147,85,179
4429,175,229,139,145,84,180
4460,177,230,137,143,83,178
4490,181,230,137,143,83,178
4519,184,230,137,142,84,178
4550,183,229,135,143,83,177
4580,179,229,135,143,85,176
4611,171,229,134,143,85,174
4640,159,229,133,142,86,173
4671,152,227,131,144,88,171
4701,150,224,129,143,85,170
4731,154,222,128,144,87,172
4761,164,226,130,143,84,177
4792,183,227,133,142,88,179
4822,192,228,136,141,86,182
4851,196,230,138,140,84,181
4882,194,229,138,141,84,180
4912,175,231,136,142,86,174
4942,160,228,134,142,85,170
4972,152,226,133,142,85,169
5003,154,227,133,143,86,171
5032,166,227,136,145,86,175
5063,188,228,137,143,85,182
5093,201,230,140,141,84,185
5124,206,231,141,138,85,186
5153,210,230,142,140,84,189
5183,210,231,142,138,85,190
5214,208,232,143,139,85,189
5243,199,232,141,139,84,182
5274,172,230,139,141,87,177
5304,152,228,133,143,86,171
5335,139,222,124,144,84,169
5364,133,216,120,143,84,170
5395,136,216,120,143,87,174
5425,146,218,124,144,85,176
5455,167,224,131,144,85,182
5485,179,225,132,144,86,181
5515,184,226,133,145,85,183
5545,184,228,135,143,86,182
5575,186,227,134,141,85,183
5606,181,227,133,142,86,182
5636,164,225,131,141,85,177
5666,144,219,128,144,86,176
5696,134,207,122,145,86,170
5727,129,205,118,147,85,169
5756,130,202,116,144,86,170
5787,138,207,117,145,86,175
5817,163,217,126,144,87,181
5847,177,223,128,143,86,180
5877,186,225,130,141,84,180
5907,197,226,134,143,85,184
5938,200,227,133,140,85,183
5967,185,229,135,141,83,180
5998,171,229,133,142,82,178
6028,148,220,131,144,85,175
6059,141,208,123,146,84,172
6088,133,202,123,146,83,172
6118,138,204,123,143,85,173
6149,152,214,126,145,82,180
6178,178,222,133,145,83,183
6209,191,227,136,142,85,182
6239,189,227,137,141,85,181
6269,171,227,140,140,86,178
6299,151,224,135,141,85,174
6330,137,218,129,144,84,171
6360,136,214,125,146,83,172
6390,145,217,127,145,85,176
6420,167,225,132,146,85,181
6450,195,227,138,144,83,184
6480,202,229,139,144,83,184
6510,203,230,139,143,86,185
6541,187,232,138,140,84,178
6571,163,229,137,140,84,176
6601,143,223,132,143,84,176
6631,135,206,122,142,84,174
6662,129,190,118,143,82,173
6691,129,191,118,143,83,174
6722,138,198,119,142,83,178
6752,167,214,131,143,85,186
6781,199,224,138,143,83,185
6812,208,228,142,142,84,186
6842,211,229,142,143,84,187
6873,207,230,141,141,84,183
6902,195,230,138,143,84,179
6933,185,229,138,140,84,176
6963,176,229,137,144,83,174
6993,176,228,138,144,85,175
7023,187,230,138,145,85,176
7054,194,229,142,144,85,180
7084,197,230,141,143,85,179
7113,191,230,139,144,87,179
7144,176,229,135,144,86,171
7174,162,227,136,145,87,170
7204,152,225,132,145,86,167
7234,148,223,131,145,85,167
7265,148,217,128,145,86,169
7294,141,216,125,148,84,168
7325,137,211,124,148,84,166
7355,135,211,123,145,86,167
7386,132,206,122,147,86,167
7415,132,206,123,151,85,169
7445,147,213,125,149,87,176
7476,180,222,135,145,86,178
7505,193,226,135,142,85,180
