10,141,183,131,175,94,207,NaN,NaN
20,141,181,132,174,95,207,NaN,NaN
34,141,183,131,174,95,206,NaN,NaN
63,141,182,132,174,95,207,NaN,NaN
91,142,183,131,175,95,207,NaN,NaN
118,143,183,131,176,95,207,NaN,NaN
148,142,181,132,175,95,207,NaN,NaN
177,144,183,131,174,95,206,NaN,NaN
206,141,182,131,174,96,209,NaN,NaN
235,144,182,133,176,96,206,NaN,NaN
265,142,182,131,174,98,209,NaN,NaN
293,143,182,130,176,98,207,NaN,NaN
322,144,182,131,174,96,208,NaN,NaN
352,144,182,131,177,100,208,NaN,NaN
381,143,180,131,175,96,208,NaN,NaN
411,142,180,131,174,98,208,NaN,NaN
440,141,181,131,176,99,208,NaN,NaN
470,143,180,131,174,99,208,NaN,NaN
498,142,181,133,176,100,210,NaN,NaN
529,147,178,136,179,104,211,NaN,NaN
559,151,174,140,187,108,214,NaN,NaN
588,156,171,143,194,113,214,NaN,NaN
619,157,166,147,199,115,216,NaN,NaN
649,157,165,148,199,116,215,NaN,NaN
679,156,165,148,198,118,214,NaN,NaN
709,152,163,146,197,118,214,NaN,NaN
740,150,164,144,196,118,214,NaN,NaN
770,145,166,136,192,115,210,NaN,NaN
800,141,169,128,186,111,209,NaN,NaN
830,139,171,125,178,111,204,NaN,NaN
860,135,172,123,177,114,202,NaN,NaN
890,135,171,120,175,118,203,NaN,NaN
920,137,173,117,178,126,199,NaN,NaN
951,137,173,116,183,135,201,NaN,NaN
980,136,173,117,191,139,201,NaN,NaN
1011,139,175,118,200,143,200,NaN,NaN
1042,138,174,118,207,144,200,NaN,NaN
1074,139,175,118,208,139,199,NaN,NaN
1104,138,173,117,209,129,200,NaN,NaN
1136,140,175,118,204,126,199,NaN,NaN
1167,140,175,117,197,127,197,NaN,NaN
1199,142,176,120,187,122,199,NaN,NaN
1229,144,175,121,186,121,195,NaN,NaN
1261,145,175,120,187,121,195,NaN,NaN
1292,145,176,123,187,118,197,NaN,NaN
1323,146,174,122,186,119,194,NaN,NaN
1354,149,177,124,187,120,194,NaN,NaN
1385,150,177,126,186,120,195,NaN,NaN
1417,151,177,123,183,116,192,NaN,NaN
1447,152,175,124,180,112,192,NaN,NaN
1479,152,175,124,179,112,192,NaN,NaN
1510,152,175,124,179,112,192,NaN,NaN
1542,152,175,124,177,112,192,NaN,NaN
1572,153,175,125,176,110,190,NaN,NaN
1604,153,175,125,175,108,191,NaN,NaN
1635,152,175,123,175,107,190,NaN,NaN
1667,153,173,125,175,108,192,NaN,NaN
1697,152,174,126,175,106,191,NaN,NaN
1729,153,174,125,175,107,194,NaN,NaN
1760,152,175,127,176,109,191,NaN,NaN
1790,152,174,127,177,108,195,NaN,NaN
1822,153,175,126,176,108,193,NaN,NaN
1853,151,175,127,177,108,191,NaN,NaN
1885,151,175,130,175,108,195,NaN,NaN
1915,153,177,130,180,108,193,NaN,NaN
1947,153,176,129,179,110,191,NaN,NaN
1978,153,175,130,180,109,191,NaN,NaN
2010,153,175,131,179,109,192,NaN,NaN
2040,154,176,131,179,110,192,NaN,NaN
2072,153,175,132,177,111,193,NaN,NaN
2103,153,177,132,180,111,193,NaN,NaN
2135,153,176,130,181,110,193,NaN,NaN
2165,156,176,131,184,110,193,NaN,NaN
2197,155,178,132,180,111,193,NaN,NaN
2228,150,177,131,180,109,192,NaN,NaN
2259,148,176,129,178,108,194,NaN,NaN
2290,149,176,130,179,107,196,NaN,NaN
2321,150,177,130,178,105,197,NaN,NaN
2353,145,177,129,176,104,197,NaN,NaN
2383,146,178,128,175,104,204,NaN,NaN
2415,147,178,130,173,99,206,NaN,NaN
2445,146,177,128,170,99,208,NaN,NaN
2476,144,178,126,169,98,208,NaN,NaN
2505,143,177,127,168,96,210,NaN,NaN
2536,138,177,126,167,97,212,NaN,NaN
2566,139,179,125,165,92,212,NaN,NaN
2596,141,178,126,167,92,213,NaN,NaN
2626,137,179,125,166,92,215,NaN,NaN
2656,139,179,123,165,87,213,NaN,NaN
2686,139,179,122,165,87,212,NaN,NaN
2716,137,181,122,163,87,216,NaN,NaN
2747,139,180,120,165,86,214,NaN,NaN
2777,140,180,119,164,86,213,NaN,NaN
2807,140,180,120,163,86,214,NaN,NaN
2837,139,180,120,163,88,214,NaN,NaN
2868,139,181,120,162,86,213,NaN,NaN
2897,140,182,122,162,86,215,NaN,NaN
2928,141,181,120,164,87,215,NaN,NaN
2958,141,182,121,165,88,216,NaN,NaN
2988,140,182,121,165,87,217,NaN,NaN
3018,141,182,123,164,88,216,NaN,NaN
3048,143,181,121,164,91,215,NaN,NaN
