207,152,174,133,183,141,145
238,151,173,134,183,145,146
268,153,170,132,184,145,142
299,154,176,132,184,145,142
328,151,177,134,185,145,141
359,151,179,133,184,144,143
389,150,180,134,185,144,142
419,151,180,133,185,145,143
449,152,179,132,186,145,138
479,152,184,131,184,143,143
509,154,183,128,185,145,145
539,156,181,128,184,145,143
570,158,182,128,185,146,139
600,157,187,126,184,149,144
630,152,188,127,183,149,132
660,162,190,130,186,152,125
691,166,191,133,186,158,124
720,168,192,138,186,162,123
750,169,189,138,188,166,123
781,162,191,139,190,167,125
811,167,190,138,191,166,117
841,165,192,140,191,172,101
871,169,191,138,193,170,103
902,173,191,139,193,172,108
931,176,189,138,195,170,111
962,177,189,139,193,171,116
992,174,185,138,194,172,128
1022,170,184,137,195,174,136
1053,173,176,137,196,172,143
1085,170,167,136,196,173,145
1116,168,158,125,194,173,147
1146,165,152,107,186,172,124
1178,157,154,100,166,166,119
1209,149,159,95,152,156,115
1240,146,161,94,141,147,104
1269,143,165,94,135,139,90
1299,136,166,94,128,128,65
1328,131,165,92,123,128,60
1357,126,167,92,123,130,91
1386,123,166,90,123,129,90
1415,124,166,90,123,131,90
1444,122,166,89,124,130,87
1473,120,166,89,125,131,87
1503,122,164,90,126,134,81
1531,124,166,89,127,132,81
1561,123,165,90,126,134,87
1590,124,164,89,127,133,87
1619,123,164,90,129,134,89
1648,125,167,92,128,132,88
1677,126,167,93,129,133,91
1707,126,167,92,129,133,90
1735,126,170,95,132,131,87
1765,126,169,93,132,131,87
1794,127,169,94,132,130,85
1823,128,169,95,133,128,83
1852,127,168,93,134,129,84
1881,127,170,95,132,126,83
1910,127,169,94,132,127,86
1939,128,170,94,132,127,86
1969,128,170,95,133,129,86
1997,128,171,94,133,130,88
2027,129,169,95,134,130,88
2056,128,171,95,135,130,90
2085,128,171,96,134,130,90
2114,129,170,95,136,129,88
2143,129,170,93,134,130,91
2172,130,171,95,134,129,89
2201,129,170,96,135,129,86
2231,130,172,94,135,129,87
2259,129,171,95,136,130,89
2289,130,171,95,135,131,88
2318,129,172,96,136,131,84
2347,130,173,94,136,131,86
2376,132,173,95,136,132,89
2405,132,171,95,136,132,88
2435,132,171,95,136,131,92
2463,131,171,96,136,132,93
2493,131,172,96,136,133,87
2522,130,173,96,136,133,90
2551,131,173,94,137,131,90
2580,133,173,97,136,133,90
2609,133,172,95,137,132,88
2638,134,172,95,136,131,88
2667,131,174,96,138,134,86
2697,131,174,95,136,132,91
2725,132,173,96,136,131,89
2755,133,173,95,137,132,91
2784,131,172,97,138,132,91
2812,132,173,96,139,134,90
2842,131,174,94,137,134,89
2871,132,171,96,138,135,86
2900,132,173,96,139,133,89
2929,132,173,94,137,134,89
2959,131,173,96,137,133,91
2988,132,173,95,138,133,93
3017,131,174,97,136,133,91
3046,131,174,93,137,133,92
