,precision,recall,f1-score,support
Adduction_Grip,0.7230971128608924,0.601528384279476,0.6567342073897497,916.0
Fixed_hook,0.8313953488372093,0.4836527621195039,0.6115466856735566,887.0
Large_diameter,0.6547515257192676,0.7570564516129032,0.7021972884525479,992.0
Parallel_extension,0.7584650112866818,0.6733466933867736,0.7133757961783439,998.0
Precision_sphere,0.5688559322033898,0.678030303030303,0.618663594470046,792.0
Sphere_4_finger,0.33184656556645853,0.42758620689655175,0.3736815670517328,870.0
Ventral,0.8348837209302326,0.703921568627451,0.7638297872340426,1020.0
Writing_Tripod,0.681260945709282,0.8615725359911407,0.760880195599022,903.0
accuracy,0.6516671184602874,0.6516671184602874,0.6516671184602874,0.6516671184602874
macro avg,0.6730695203891768,0.6483368632430129,0.6501136402561303,7378.0
weighted avg,0.6793530312075124,0.6516671184602874,0.6551646691044043,7378.0
