30,137,182,140,182,131,109
40,138,182,138,183,129,108
59,139,180,137,183,131,113
89,140,180,137,182,128,108
117,142,181,139,185,130,109
147,144,183,137,183,131,112
178,146,184,139,182,133,111
207,138,184,139,186,133,114
238,138,183,140,184,132,110
268,126,184,140,183,135,108
299,134,186,141,184,133,108
328,139,185,143,185,136,107
359,135,187,142,186,137,98
388,134,187,143,184,137,93
416,147,185,141,186,136,87
446,144,186,141,185,141,82
475,144,184,144,184,137,82
504,148,190,143,185,137,79
533,147,188,145,183,138,79
563,149,188,144,183,137,77
591,148,189,146,183,133,78
621,146,186,148,181,130,82
650,133,187,145,178,127,81
678,136,188,145,179,125,83
708,149,183,147,175,122,85
737,149,187,145,154,108,87
766,151,187,146,145,103,91
795,151,181,146,145,94,95
824,151,176,144,143,89,94
851,150,184,147,140,90,94
879,148,186,145,142,89,94
908,150,185,144,147,92,97
935,149,179,145,151,99,101
965,149,180,146,162,114,103
995,146,182,146,170,141,101
1026,147,182,148,180,150,101
1056,147,180,147,184,160,107
1088,155,178,149,184,162,112
1119,157,182,149,184,166,120
1149,150,193,146,184,171,123
1181,152,196,145,185,171,123
1212,153,197,146,183,175,125
1244,152,197,145,183,174,122
1274,151,199,145,186,175,121
1306,156,199,144,183,179,123
1337,154,198,146,184,183,123
1369,157,199,146,182,187,129
1399,156,199,145,184,188,130
1431,155,201,146,183,192,131
1462,157,200,145,182,192,128
1494,154,199,147,182,191,130
1524,150,198,144,182,192,128
1556,153,200,146,181,193,133
1587,153,198,147,183,192,129
1618,153,199,147,182,192,127
1649,153,202,147,183,196,123
1680,151,200,148,183,194,119
1712,146,201,148,184,197,120
1742,150,202,148,185,194,122
1774,150,202,147,181,195,118
1805,147,201,147,183,197,125
1837,147,201,147,185,195,125
1867,147,199,147,185,199,127
1899,148,202,148,183,197,125
1930,147,201,147,184,196,127
1961,146,201,148,186,198,131
1992,146,201,148,184,198,129
2024,146,199,147,184,198,130
2055,148,201,147,184,200,133
2086,145,200,148,186,199,134
2117,147,199,148,184,197,135
2148,147,201,147,186,200,133
2180,144,198,146,184,198,136
2210,147,199,148,184,196,134
2242,146,199,149,188,199,133
2273,147,201,146,185,199,132
2305,144,202,147,187,198,135
2335,146,199,149,184,199,134
2367,145,201,147,183,198,136
2398,146,199,149,183,197,137
2429,147,201,147,187,199,134
2460,146,200,147,185,200,133
2492,145,200,149,185,198,131
2523,146,201,146,185,199,134
2554,144,201,149,185,200,134
2585,144,202,146,185,200,131
2617,144,202,150,185,198,138
2648,145,202,149,187,200,136
2678,145,202,148,184,200,134
2710,146,202,149,186,199,134
2741,148,201,147,185,199,135
2772,144,201,150,186,200,137
2803,145,200,149,185,198,137
2835,146,201,148,184,198,133
2866,146,202,148,187,200,139
2897,144,203,147,185,198,133
2928,145,202,148,184,197,140
2960,147,203,148,185,198,134
2991,147,201,149,186,199,137
3022,142,202,147,185,199,136
3053,144,200,149,186,199,135
3085,145,199,147,184,198,138
